2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | get_vocabulary_collection:32 | Initializing vocabulary collection...
2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | get_vocabulary_collection:42 | Vocabulary collection initialized: vocabulary
2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: laptop (technology, beginner)
2025-11-08 10:16:24 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_laptop: 0.753s
2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: smartphone (technology, beginner)
2025-11-08 10:16:24 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_smartphone: 0.181s
2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: application (technology, intermediate)
2025-11-08 10:16:24 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_application: 0.158s
2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: database (technology, intermediate)
2025-11-08 10:16:24 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_database: 0.187s
2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: algorithm (technology, advanced)
2025-11-08 10:16:24 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_algorithm: 0.147s
2025-11-08 10:16:24 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: artificial intelligence (technology, advanced)
2025-11-08 10:16:24 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_artificial intelligence: 0.152s
2025-11-08 10:16:25 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: keyboard (technology, beginner)
2025-11-08 10:16:25 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_keyboard: 0.152s
2025-11-08 10:16:25 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: download (technology, beginner)
2025-11-08 10:16:25 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_download: 0.149s
2025-11-08 10:16:25 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: cybersecurity (technology, intermediate)
2025-11-08 10:16:25 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_cybersecurity: 0.170s
